virus,realm,locus_tag,host,type,shape,corr,p.value
Pleurochrysis carterae circular virus,Monodnaviria,C1181,eukaryotic algae,DNA,circular,0.340679284417941,0.00982529601320988
Tamana bat virus,Riboviria,TABVgp1,vertebrates,ss-RNA,linear,-0.403448275862069,0.00166241932543128
Beihai rhabdo-like virus 3,Riboviria,FLA27,invertebrates,RNA,linear,-0.359205143191116,0.00544872990465666
Trichoplusia ni single nucleopolyhedrovirus,Naldaviricetes,TNSV,invertebrates,DNA,circular,-0.37469316189363,0.00365844768218383
Plantago asiatica mosaic virus,Riboviria,PlAMVgp,land plants,ss-RNA,linear,0.406428988895383,0.00152609497114066
Calla lily latent virus,NA,L594,NA,NA,NA,-0.494389246054939,8.54777397529507e-05
human papillomavirus 103,Monodnaviria,HPV103,human,DNA,circular,-0.495850379894798,8.09655106126298e-05
Gordonia phage Sadboi,Duplodnaviria,HWC71,bacteria,DNA,linear,0.591174751607247,1.39766929198111e-06
Xinzhou nematode virus 7,Riboviria,B1U12,invertebrates,RNA,linear,-0.0971361776738749,0.463216566816195
Clitoria virus Y,Riboviria,FK889,land plants,RNA,linear,-0.300193792488234,0.0224086284124195
Mycobacterium phage Chy4,Duplodnaviria,M179,bacteria,DNA,linear,0.570826540342674,4.42041617054838e-06
Boolarra virus,Riboviria,BoV,invertebrates,RNA,linear,-0.280070134424313,0.0320182550252105
Boolarra virus,Riboviria,BoV,invertebrates,ss-RNA,linear,-0.280070134424313,0.0320182550252105
Staphylococcus phage StB27,Duplodnaviria,G175,bacteria,DNA,linear,-0.341203974284045,0.00846674074659466
Paenibacillus phage Likha,Duplodnaviria,HWB48,bacteria,DNA,linear,-0.528053769725307,2.31006246023644e-05
Streptomyces phage Bmoc,Duplodnaviria,KNV00,bacteria,DNA,linear,0.172238457042665,0.191580671540514
Caretta caretta papillomavirus 1,Monodnaviria,CarettaPV1,vertebrates,DNA,circular,-0.464815897136178,0.0002444086792177
Staphylococcus phage SP120,Duplodnaviria,KMD10,bacteria,DNA,circular,-0.437229690239626,0.000603207301248765
Coleus vein necrosis virus,Riboviria,CVNV,land plants,RNA,linear,-0.328521332554062,0.011390963707616
Niminivirus,Monodnaviria,DF43,vertebrates,DNA,circular,-0.336177673874927,0.00953596194606274
Halomonas phage phiHAP-1,Duplodnaviria,HAPgp,bacteria,DNA,linear,0.321390999415546,0.0133927798066967
Mycobacterium phage First,Duplodnaviria,First,bacteria,DNA,linear,0.603214494447691,7.76381842969677e-07
Escherichia phage vB vPM PD112,NA,KMC20,NA,NA,NA,-0.308825248392753,0.01766580635179
Wenling tombus-like virus 2,Riboviria,BWT25,invertebrates,RNA,linear,-0.493921683226184,8.6969974180843e-05
Hubei picorna-like virus 78,Riboviria,BWR76,invertebrates,RNA,linear,-0.365984804208066,0.00458701683331038
Mallard associated gemycircularvirus 1,Monodnaviria,QU78,vertebrates,DNA,circular,-0.267971946230275,0.0404809284183556
White clover mottle virus,Riboviria,BMI92,land plants,RNA,linear,-0.3822910578609,0.00298905063400863
Enterobacteria phage phiJLA23,Duplodnaviria,HOQ90,bacteria,DNA,linear,-0.214026884862653,0.103545445790557
Pantoea phage vB PagM SSEM1,NA,HWD31,NA,NA,NA,-0.101811805961426,0.441883843837544
Stx2-converting phage 86,Duplodnaviria,Stx2,bacteria,DNA,circular,-0.251782583284629,0.0546338389696026
Wuhan spider virus 9,Riboviria,B1T63,invertebrates,RNA,linear,-0.537171244886032,1.58569326913966e-05
Staphylococcus phage SAP-2,Duplodnaviria,SAP2,bacteria,DNA,linear,-0.310695499707773,0.0169638692981758
Enterococcus phage EfaCPT1,Duplodnaviria,EfaCPT1,bacteria,DNA,circular,-0.316189362945646,0.0150388030691148
Escherichia phage G4,Monodnaviria,G4p03,bacteria,DNA,circular,0.135067212156634,0.306875411385998
Holosalinivirus M1EM1,Duplodnaviria,FGG70,bacteria,NA,NA,0.252834599649328,0.0536053819699959
Cowpea chlorotic mottle virus,Riboviria,CCMV,land plants,ss-RNA,linear,-0.367445938047925,0.00441796179717093
Wenzhou narna-like virus 9,Riboviria,BWT02,invertebrates,RNA,linear,-0.287843366452367,0.0274067253384434
Fur seal faeces associated circular DNA virus,Monodnaviria,DJ35,vertebrates,DNA,circular,-0.186382232612507,0.157198202463457
Wenzhou picorna-like virus 28,NA,BWS81,NA,RNA,linear,-0.207948568088837,0.113907274142346
Torque teno virus 29,NA,D1P72,NA,DNA,linear,-0.0672121566335476,0.61212614282985
Pseudomonas phage phiIBB-PF7A,Duplodnaviria,phiIBB,bacteria,DNA,linear,0.621449444769141,3.08636590734069e-07
Streptomyces phage Sentinel,NA,KGG73,NA,DNA,linear,0.598889538281707,9.6078010565197e-07
Beihai sobemo-like virus 9,Riboviria,BWU86,invertebrates,RNA,linear,0.16125073056692,0.221808352007937
Fathead minnow nidovirus,Riboviria,D1P22,vertebrates,RNA,linear,-0.135242548217417,0.306243413287158
Paenibacillus phage Wanderer,Duplodnaviria,KMC73,bacteria,DNA,linear,-0.517475160724723,3.53221507117618e-05
Gordonia Phage Barsten,Duplodnaviria,KNV14,bacteria,DNA,linear,0.451607247223846,0.000380035860496306
Clostridium phage CpV1,Duplodnaviria,HWA85,bacteria,DNA,linear,-0.476329631794272,0.000187418457065802
Corynebacterium phage BFK20,Duplodnaviria,BFK20,bacteria,DNA,linear,0.230683810637054,0.078889054594234
Lactococcus phage 62503,Duplodnaviria,H1N75,bacteria,DNA,linear,-0.366569257744009,0.00451871902501155
Mycobacterium phage Phelemich,Duplodnaviria,N847,bacteria,DNA,linear,0.537405026300409,1.57027027749488e-05
Lactococcus phage 16W23,Duplodnaviria,HYP00,bacteria,DNA,linear,-0.416364699006429,0.00114130171697454
Escherichia phage HP3,Duplodnaviria,FDH36,bacteria,DNA,circular,-0.307071887784921,0.0183463607750249
Staphylococcus phage P4W,Duplodnaviria,HOQ76,bacteria,DNA,linear,-0.40385739333723,0.00164308155522644
Ralstonia phage Simangalove,Duplodnaviria,KMC38,bacteria,DNA,linear,0.450847457627119,0.000389613854130576
Synechococcus phage S-P4,Duplodnaviria,HOU57,bacteria,DNA,linear,-0.179719462302747,0.172775465510975
Cronobacter phage CS01,Duplodnaviria,HOU43,bacteria,DNA,linear,-0.0272355347749854,0.837427182724426
Pigeonpea sterility mosaic emaravirus 1,Riboviria,A0H80,land plants,cRNA,linear,-0.384478144513827,0.00307115388447236
Pigeonpea sterility mosaic emaravirus 1,Riboviria,A0H80,land plants,RNA,linear,-0.384478144513827,0.00307115388447236
Miniopterus schreibersii polyomavirus 2,Monodnaviria,B5Z32,vertebrates,DNA,circular,-0.492571287951029,0.000105447682885737
Tomato leaf curl Oman virus,Monodnaviria,TLCOV,land plants,DNA,circular,-0.306721215663355,0.018485134669201
Escherichia phage SF,Duplodnaviria,KNT93,bacteria,DNA,linear,-0.233372296902396,0.0753894485780256
Rhizoctonia mitovirus 1,Riboviria,EXJ16,fungi,RNA,linear,-0.332877648667122,0.012528611273793
Sulfolobus turreted icosahedral virus 1,Varidnaviria,NA,archaea,DNA,circular,-0.517767387492694,3.49161313672507e-05
Mesta yellow vein mosaic virus,Monodnaviria,MYVMV,land plants,ss-DNA,circular,-0.334833430742256,0.00984116528913718
Citrus chlorotic dwarf associated virus,Monodnaviria,B359,land plants,DNA,circular,-0.366919929865576,0.00447817431758934
Banana streak MY virus,Riboviria,BSMysV,land plants,DNA,circular,-0.313383985973115,0.0159968797850585
Sulfolobus virus STSV2,Bicaudaviridae,STSV2,archaea,DNA,linear,-0.462068965517242,0.000268275274154615
Honeysuckle yellow vein mosaic virus,Monodnaviria,HYVMVgp,land plants,ss-DNA,circular,-0.3468731735827,0.00738800313452806
Indian citrus ringspot virus,Riboviria,Icrvgp,land plants,ss-RNA,linear,0.169257744009351,0.199470212592593
Aplysia californica nido-like virus,NA,EXK66,NA,ss-RNA,linear,-0.413091759205143,0.0012570805236734
Hubei picorna-like virus 20,Riboviria,BWR73,invertebrates,RNA,linear,-0.315780245470485,0.0151753641253215
Zinnia leaf curl virus-associated DNA beta,Tolecusatellitidae,ZLCVDBp1,land plants,ss-DNA,circular,-0.210540184453228,0.164636367410428
Pectobacterium phage PP99,Duplodnaviria,HOR53,bacteria,DNA,linear,-0.0950905902980713,0.472723546004073
Siegesbeckia yellow vein betasatellite,Tolecusatellitidae,D1S11,land plants,DNA,circular,-0.130320604004815,0.434050808907414
Hubei sobemo-like virus 5,Riboviria,BVB04,invertebrates,RNA,linear,0.00847457627118644,0.949220649021284
Dragonfly associated cyclovirus 6,Monodnaviria,D1Q31,invertebrates,ss-DNA,circular,-0.302980713033314,0.0200222201974445
Ingwavuma virus,Riboviria,FLA99,human:vertebrates,RNA,linear,-0.414728229105786,0.00119792850588004
Faeces associated gemycircularvirus 11,Monodnaviria,QU88,vertebrates,DNA,circular,0.0376972530683811,0.776316783043218
Hubei virga-like virus 11,Riboviria,BWU57,invertebrates,RNA,linear,-0.314494447691409,0.0156115374870139
Botrytis cinerea betaendornavirus 1,Riboviria,BMR75,fungi,RNA,linear,-0.395558153126827,0.00207768982967753
Beihai sipunculid worm virus 1,Riboviria,BVK80,invertebrates,RNA,linear,-0.174926943308007,0.184659789579252
Escherichia phage vB EcoS PHB17,NA,KMB84,NA,NA,NA,-0.197428404441847,0.133708078994262
Magnaporthe oryzae chrysovirus 1,Riboviria,MOCV1,fungi,RNA,linear,0.016364699006429,0.901957777510722
PoSCV Kor J481,Monodnaviria,FD56,vertebrates,DNA,circular,0.214998703655691,0.108190435685738
Klebsiella phage vB KpnS ZX4,NA,KGB54,NA,NA,NA,-0.196317942723554,0.135941631994194
Mycobacterium phage HyRo,Duplodnaviria,HYRO,bacteria,DNA,linear,0.628462887200468,2.14034834061583e-07
Tuber aestivum mitovirus,Riboviria,TuAMV,fungi,RNA,linear,-0.407918077729398,0.0026185975139276
Sweet clover necrotic mosaic virus,NA,SCNMV,NA,ss-RNA,linear,-0.222092343658679,0.0909470658569636
Porcine circovirus 3,Monodnaviria,BMR83,vertebrates,DNA,circular,-0.0864014801110083,0.566896798774357
Odonata-associated circular virus-9,unclassified viruses,EXI76,invertebrates,ss-DNA,circular,-0.529559748427673,5.00745778037286e-05
Mycobacterium phage Nhonho,Duplodnaviria,NHONHO,bacteria,DNA,linear,0.53834015195792,1.50996786846289e-05
Changjiang tombus-like virus 1,Riboviria,BWV88,invertebrates,RNA,linear,-0.347516072472239,0.00727364032092219
Arachis pintoi virus,Riboviria,BTU57,land plants,RNA,linear,-0.0116306253652835,0.930285242861322
Wuhan insect virus 10,Riboviria,BZJ94,invertebrates,RNA,linear,-0.342274447076194,0.0088401091474318
Cyanophage KBS-S-2A,Duplodnaviria,CPKG,bacteria,DNA,linear,-0.0691992986557569,0.601625274265481
Pseudomonas phage vB PaeM C1-14 Ab28,NA,VC50,NA,NA,NA,0.401227352425482,0.00177101290390091
Halovirus HCTV-2,unclassified viruses,M201,archaea,DNA,linear,0.420689655172414,0.00100309959069545
Gordonia phage GTE6,Duplodnaviria,AU100,bacteria,DNA,linear,0.43635300993571,0.000620064898272354
Cotton leaf curl Bangalore virus,Monodnaviria,CLCuBVp,land plants,ss-DNA,circular,-0.254880187025132,0.0516509293784627
Chicken associated smacovirus,Monodnaviria,BWS34,vertebrates,DNA,circular,-0.216306253652835,0.0998547124012407
Peduovirus L413C,Duplodnaviria,L,bacteria,NA,NA,0.0273524254821742,0.836738313852255
Mycobacterium phage Kenuha5,Duplodnaviria,I5H51,bacteria,DNA,linear,0.458912916423144,0.000298320076572237
Chaetoceros protobacilladnavirus 4,Monodnaviria,ChTDV,eukaryotic algae,DNA,circular,-0.251022793687902,0.0553865930436283
Propionibacterium phage PHL064M01,NA,ACQ80,NA,NA,NA,0.0587375803623612,0.657770680177953
Lepus americanus faeces associated microvirus SHP1 6472,NA,EXH88,NA,DNA,circular,-0.150327601587253,0.259255911773207
Tomato leaf curl Bangalore virus,Monodnaviria,ToLCBVgp,land plants,ss-DNA,circular,-0.375277615429573,0.00360258584671454
Palaemonetes kadiakensis Mississippi grass shrimp associated circular virus,Monodnaviria,AMR04,invertebrates,NA,NA,0.278842781998831,0.0328027926429079
Saimiriine gammaherpesvirus 2,Duplodnaviria,SaHV2gp,vertebrates,DNA,linear,-0.421332554061952,0.000983902439395828
Plumeria mosaic virus,Riboviria,XM14,land plants,RNA,linear,-0.398655756867329,0.00190468737651961
Rodent Torque teno virus 2,Anelloviridae,SC24,vertebrates,DNA,circular,-0.281552800762866,0.0326112720501476
Vibrio phage VEN,Duplodnaviria,HOS56,bacteria,DNA,linear,-0.241320864991233,0.0657639615671406
Pseudomonas phage R26,Duplodnaviria,NA,bacteria,DNA,linear,0.398655756867329,0.00190468737651961
Mycobacterium phage Ogopogo,Duplodnaviria,I5H72,bacteria,DNA,linear,0.494097019286967,8.64075905633175e-05
Miniopterus schreibersii picornavirus 1,Riboviria,B9W66,vertebrates,RNA,linear,-0.0584453535943893,0.659368442856948
Pseudomonas phage LMA2,Duplodnaviria,LMA2,bacteria,DNA,linear,0.41344243132671,0.00124418761868261
Beihai zhaovirus-like virus 2,Riboviria,BWV62,invertebrates,RNA,linear,-0.369783752191701,0.00415894691341554
Aichi virus 1,Riboviria,AiV,human:vertebrates,RNA,linear,0.508007013442431,5.11095380485827e-05
Japanese encephalitis virus,Riboviria,JEVgp,human:invertebrates:vertebrates,ss-RNA,linear,-0.233430742255991,0.0753147721423569
Rhizoctonia solani dsRNA virus 4,Riboviria,F2P96,fungi,RNA,linear,0.272355347749854,0.037222223845784
Lake Sarah-associated circular virus-6,NA,A0R99,NA,ss-DNA,circular,-0.20632742519535,0.134205545003566
Klebsiella phage ST147-VIM1phi7.1,Duplodnaviria,HYP80,bacteria,DNA,linear,0.0361192285213326,0.785457864033715
Thika virus,unclassified viruses,ABY35,invertebrates,RNA,linear,-0.347282291057861,0.00731504566764499
Hypericum japonicum associated circular DNA virus,Monodnaviria,D1R01,land plants,DNA,circular,0.0871420222092344,0.510644150170007
Kafue kinda chacma baboon virus,Riboviria,AXF39,vertebrates,RNA,linear,0.153477498538866,0.245120263516981
Wuhan pillworm virus 2,Riboviria,B1T72,invertebrates,RNA,linear,-0.470952659263589,0.000197955535836589
Streptomyces phage Joe,Duplodnaviria,KGG94,bacteria,DNA,linear,0.578058783321941,4.76167134549956e-06
Sugarcane chlorotic streak virus,Monodnaviria,BS327,land plants,DNA,circular,-0.0665692577440094,0.615540416657969
Porcine associated porprismacovirus 9,Monodnaviria,KW76,vertebrates,DNA,circular,-0.298655756867329,0.0231324251399576
Mycobacterium phage BigPaolini,Duplodnaviria,JMN50,bacteria,DNA,linear,0.534599649327879,1.76493934591506e-05
Roseobacter phage SIO1,Duplodnaviria,SIO1p,bacteria,DNA,linear,-0.0288720046756283,0.827794366953079
Qalyub orthonairovirus,Riboviria,CA767,invertebrates:vertebrates,ss-RNA,linear,-0.407539450613676,0.00147793922371536
Changjiang picorna-like virus 1,Riboviria,BVA95,invertebrates,RNA,linear,0.20052600818235,0.12762466706594
Mycobacterium phage Gizmo,Duplodnaviria,M181,bacteria,DNA,circular,0.632729398012858,1.70690768943872e-07
Escherichia phage vB EcoM NBG2,NA,KMC17,NA,NA,NA,-0.310227936879018,0.0171370681901805
Reston ebolavirus,Riboviria,REBOVgp,human:vertebrates,cRNA,linear,-0.406604324956166,0.00151839870944262
Escherichia phage ID52,Monodnaviria,CIV52,bacteria,DNA,circular,0.0880771478667446,0.506103484644871
Okra mosaic virus,NA,OkMV,NA,ss-RNA,linear,0.444126241963764,0.000484449333259216
Plasmavirus L2,Plasmaviridae,L2,bacteria,NA,NA,-0.371620166723061,0.00429759847927829
Vibrio phage 1.224.A. 10N.261.48.B1,NA,HOU79,NA,NA,NA,-0.232378725891292,0.0766680300589389
Mycobacterium phage CASbig,Duplodnaviria,JMN56,bacteria,DNA,linear,0.537463471654004,1.566436470184e-05
Lactococcus phage LP0209,Duplodnaviria,HYP49,bacteria,DNA,linear,-0.393571011104617,0.00219596554605895
Staphylococcus phage Staph1N,Duplodnaviria,HOQ71,bacteria,DNA,linear,-0.39853886616014,0.00191097327507154
Klebsiella phage JD18,Duplodnaviria,AU097,bacteria,DNA,linear,-0.221624780829924,0.091642779076406
Lake Sarah-associated circular virus-43,unclassified viruses,A0S25,invertebrates,ss-DNA,circular,-0.0322679873265865,0.809559650996203
Cardioderma cor polyomavirus 1,Monodnaviria,G303,vertebrates,DNA,circular,-0.405518471807807,0.00172396173762571
Lactococcus phage 936 group phage Phi109,Duplodnaviria,HYO87,bacteria,DNA,linear,-0.400701344243133,0.00179764851910502
Sclerophthora macrospora virus A,NA,SMVA,NA,ss-RNA,linear,-0.295441262419638,0.0234544530870342
Enterovirus AN12,Riboviria,B1U08,vertebrates,RNA,linear,0.0413793103448276,0.755107317663003
Bat Middle East Hepe-Astrovirus,Riboviria,DP162,vertebrates,RNA,linear,0.205961426066628,0.117462873514409
Potato yellow dwarf nucleorhabdovirus,Riboviria,PoYDV,land plants,cRNA,linear,-0.353477498538866,0.00628505884547798
Stenotrophomonas phage vB SmaS-DLP 2,NA,AVU20,NA,NA,NA,0.104383401519579,0.430389974282336
Honeysuckle yellow vein Kagoshima virus,NA,HYVMVK,NA,ss-DNA,circular,-0.261133839859731,0.0460351039876688
Epiphyllum virus 4,NA,KM744,NA,DNA,circular,-0.443074225599065,0.000501065304130189
Gordonia phage Chikenjars,Duplodnaviria,HWC66,bacteria,DNA,linear,0.342431326709527,0.0082221714899479
Porcine stool-associated circular virus 4,Monodnaviria,DJ28,vertebrates,DNA,circular,-0.0617182933956751,0.641562034660568
Staphylococcus phage SP5,Duplodnaviria,KMC65,bacteria,DNA,linear,-0.438632378725891,0.000577100432188788
Changjiang picorna-like virus 11,Riboviria,BWV45,invertebrates,RNA,linear,-0.185330216247808,0.159585854940735
Mamastrovirus 14,Riboviria,FK845,vertebrates,RNA,linear,-0.103214494447691,0.435593239658122
Enterobacteria phage RB51,Duplodnaviria,RB51ORF,bacteria,DNA,linear,-0.301227352425482,0.02077952537453
Pseudomonas phage vB Pae-SS2019XI,NA,JT355,NA,NA,NA,0.478550555230859,0.000151699491187178
Salmonella phage PVPSE1,Duplodnaviria,PVP,bacteria,DNA,linear,-0.139801285797779,0.290108358133967
Arboretum almendravirus,Riboviria,OI66,invertebrates,RNA,linear,-0.432495616598481,0.000699445301924481
Kotonkan virus,Riboviria,YYW,invertebrates: vertebrates,RNA,linear,-0.538223261250731,1.51738561110329e-05
Red-crowned crane parvovirus,Monodnaviria,EXJ56,vertebrates,ss-DNA,linear,-0.0787258912916423,0.552428939554906
Hubei sobemo-like virus 45,Riboviria,BVB09,invertebrates,RNA,linear,-0.323845704266511,0.0126717418002623
Spodoptera frugiperda ascovirus 1a,Varidnaviria,SfAV1a,invertebrates,DNA,circular,-0.0368790181180596,0.781052898415661
Gigaspora margarita mitovirus 3,Riboviria,EXJ12,fungi,RNA,linear,-0.340502630040912,0.00860933372246929
Titi monkey adenovirus ECC-2011,NA,L660,NA,DNA,linear,0.371303331385155,0.00399790152305675
Spodoptera litura nucleopolyhedrovirus II,NA,SlnV2,NA,DNA,circular,-0.0634716540035067,0.63210455486686
Beihai picorna-like virus 9,Riboviria,BVJ84,invertebrates,RNA,linear,-0.394564582115722,0.00213609380529957
Bowe virus,Riboviria,CAB99,vertebrates,ss-RNA,linear,-0.4593804792519,0.000293682910831925
HCBI8.215 virus,NA,JM55,NA,DNA,circular,-0.085853148358916,0.520652686572062
Goose adenovirus 4,Varidnaviria,A326,vertebrates,DNA,linear,-0.430274693161894,0.000749230607199459
Klebsiella phage vB KpnS KpV522,NA,HOR35,NA,NA,NA,0.0327878433664524,0.80484979615114
Swine enteric coronavirus,Riboviria,AVT88,vertebrates,RNA,linear,-0.253185271770894,0.0532661022562325
Vibrio phage 1.245.O. 10N.261.54.C7,NA,KNT80,NA,NA,NA,-0.271244886031561,0.0380263362173264
Staphylococcus phage phiSA12,Duplodnaviria,CF75,bacteria,DNA,linear,-0.392694330800701,0.00225003794367118
Tomato leaf curl Arusha virus,Monodnaviria,TLCAV,land plants,ss-DNA,circular,-0.397019286966686,0.00199440213779897
Pseudomonas phage CHA P1,NA,X837,NA,NA,NA,0.417182933956751,0.00111390534697247
Prochlorococcus phage P-SSM2,Duplodnaviria,PSSM2,bacteria,DNA,linear,-0.339801285797779,0.00875402308505929
Escherichia phage WA45,Monodnaviria,CWV45,bacteria,DNA,circular,-0.0443600233781414,0.738068518965049
Citrobacter phage vB CfrM CfP1,NA,BI032,NA,NA,NA,-0.141905318527177,0.282854113341366
Mycobacterium phage Euphoria,Duplodnaviria,CL80,bacteria,DNA,linear,0.536645236703682,1.62091347605427e-05
Human bocavirus 4 NI,Monodnaviria,HBoV4,human:vertebrates,DNA,linear,-0.318059614260666,0.0144279336041426
Bruynoghevirus LUZ24,Duplodnaviria,PPLUZ24,bacteria,NA,NA,0.296551724137931,0.0229195204510363
Hubei picorna-like virus 18,Riboviria,BWR75,invertebrates,RNA,linear,-0.3937463471654,0.00218529188631242
Flavobacterium phage vB FspS sniff9-1,NA,HWC95,NA,NA,NA,-0.453711279953244,0.000354623438620302
Hubei picorna-like virus 51,Riboviria,BWS04,invertebrates,RNA,linear,-0.378449044879879,0.00360082881788145
Oenococcus phage phiS11,Duplodnaviria,CF81,bacteria,DNA,linear,-0.347048509643483,0.00735665780540988
Ageratum yellow vein alphasatellite,Alphasatellitidae,BZL60,land plants,DNA,circular,-0.249992309821895,0.0586374164943648
Potato apical leaf curl disease-associated satellite DNA beta,Tolecusatellitidae,PALCDSDBV,land plants,DNA,circular,-0.224374037760311,0.152780760567863
Torque teno midi virus 7,Anelloviridae,D1P82,human,DNA,circular,-0.403759398496241,0.00219101060626608
Lactococcus phage LP8511,Duplodnaviria,HYP43,bacteria,DNA,linear,-0.390648743424898,0.00238087355703349
Gordonia phage BaxterFox,Duplodnaviria,SEA,bacteria,DNA,linear,0.539625949736996,1.43057704465186e-05
Sogatella furcifera hepe-like virus,NA,EXK65,NA,RNA,linear,0.490882524839275,9.72708147839538e-05
Grapevine associated narnavirus-1,Riboviria,AT153,fungi,RNA,linear,-0.332184933403058,0.0111694485929021
Capreolus capreolus papillomavirus 1,Monodnaviria,CacaPV1,vertebrates,DNA,linear,-0.441262419637639,0.000530903177340498
Trichoplusia ni ascovirus 2c,Varidnaviria,TNAV2c,invertebrates,DNA,circular,-0.41385154880187,0.00122929684426837
Infectious spleen and kidney necrosis virus,Varidnaviria,Isaknvgp,human:vertebrates,DNA,linear,-0.00414962010520164,0.97521279129542
Gaunavirus SRT01hs,Duplodnaviria,H3022,bacteria,NA,NA,-0.415731028330616,0.00128600709165586
Hubei sobemo-like virus 29,Riboviria,BVB25,invertebrates,RNA,linear,-0.320046756282876,0.0138024726793264
Pantoea phage vB PagM AAM37,NA,HWC22,NA,NA,NA,0.113793103448276,0.389811075403189
Ageratum yellow vein Hualian virus,Monodnaviria,AYVHV,land plants,ss-DNA,linear,-0.352893045002922,0.00637644620066222
Lactobacillus phage Ld25A,Duplodnaviria,LDB25A,bacteria,DNA,linear,-0.330508474576271,0.0108816562847705
Iris severe mosaic virus,Riboviria,AXI93,land plants,RNA,linear,-0.488252483927528,0.000107081363703748
Chimpanzee faeces associated microphage 3,NA,BBV77,NA,ss-DNA,circular,-0.164846657848596,0.215635172597595
Allpahuayo mammarenavirus,Riboviria,Allpahuayo,vertebrates,RNA,linear,-0.408065458796026,0.00145561003091596
Streptomyces phage phiCAM,Duplodnaviria,FDG66,bacteria,DNA,circular,0.615368051924083,5.31235274366879e-07
Pseudomonas phage PAK P2,NA,X831,NA,NA,NA,0.104734073641146,0.428835918339183
Gordonia phage JSwag,Duplodnaviria,BIZ70,bacteria,DNA,linear,0.602688486265342,7.96857910401281e-07
Acipenserid herpesvirus 2,NA,FK796,NA,DNA,linear,-0.430917592051432,0.00073449823666707
Pithovirus sibericum,unclassified viruses,pv,protozoa,DNA,circular,-0.272180011689071,0.0373482383528547
Pepper leaf curl Lahore Virus-[Pakistan:Lahore1:2004],Monodnaviria,PepLCLV,land plants,ss-DNA,circular,-0.281589713617767,0.0310688005102933
Dickeya phage vB DsoM AD1,NA,HOU09,NA,NA,NA,0.194798363530099,0.139043665751657
Human betaherpesvirus 5,Duplodnaviria,HHV5wtgp,human,DNA,linear,0.357451782583285,0.00569364350100625
Sororoca virus,NA,FLA92,NA,RNA,linear,-0.427297056199822,0.000913137039334034
Orgyia leucostigma nucleopolyhedrovirus,NA,OLNV,NA,DNA,circular,-0.315020455873758,0.0154318149806709
Hubei narna-like virus 23,Riboviria,BWW39,invertebrates,RNA,linear,-0.350847457627119,0.00670558201646154
Propionibacterium phage PHL150M00,Duplodnaviria,ACJ78,bacteria,DNA,linear,0.0756867329047341,0.567911708079616
Carey Island virus,NA,FK858,NA,RNA,linear,-0.399134199134199,0.00272491583249845
Tobacco virus 1,Riboviria,AL352,land plants,RNA,linear,-0.407890122735243,0.00146301908891712
Flavobacterium phage vB FspS hattifnatt9-1,NA,HWC88,NA,NA,NA,-0.45698421975453,0.00031816521452295
Bat coronavirus CDPHE15/USA/2006,Riboviria,O191,vertebrates,ss-RNA,linear,-0.210227936879018,0.109931677855379
Nebraska virus,Riboviria,CsNVgp,vertebrates,RNA,linear,0.145236703682057,0.271616621703466
Tomato leaf curl Rajasthan virus - [India:Rajasthan:2005],NA,D1Q94,NA,DNA,circular,-0.390531852717709,0.0023885515494744
Methanothermobacter phage psiM100,Duplodnaviria,psiM100p,archaea,DNA,linear,-0.317007597895967,0.0147688570126688
Madrid virus,Riboviria,CAU80,human:vertebrates,RNA,linear,-0.463062536528346,0.000259406717390665
Human parvovirus B19,Monodnaviria,B19V,human:vertebrates,ss-DNA,linear,-0.364815897136178,0.00472636191511727
Changjiang hepe-like virus 1,Riboviria,BWV51,invertebrates,RNA,linear,0.187317358270018,0.155098207222958
Gordonia phage Yvonnetastic,Duplodnaviria,BJD55,bacteria,DNA,linear,0.591583869082408,1.37039744562858e-06
Antarctic penguin virus C,Riboviria,D1U18,vertebrates,RNA,linear,-0.225540619520748,0.085943860709282
crAssphage cr60 1,NA,KNV49,NA,NA,NA,-0.380245470485096,0.00315756695797957
Coconut foliar decay alphasatellite,NA,CFDVgp,NA,ss-DNA,circular,-0.396376388077148,0.00203067232543479
Porcine hokovirus,Monodnaviria,D1R64,vertebrates,DNA,linear,-0.392226767971946,0.00227936166597032
Lactobacillus phage LpeD,Duplodnaviria,HWB32,bacteria,DNA,circular,-0.374517825832846,0.00367535579897346
Hardenbergia mosaic virus,Riboviria,HarMV,land plants,ss-RNA,linear,-0.426183518410286,0.0008494372469621
Cutthroat trout virus,Riboviria,CuTV,vertebrates,RNA,linear,0.139801285797779,0.290108358133968
Tobacco leaf curl virus,Monodnaviria,A6262,land plants,ss-DNA,circular,-0.314026884862654,0.0157728013382809
Alstroemeria yellow spot virus,Riboviria,F2P94,land plants,RNA,linear,-0.400412193546403,0.00198970187541545
Staphylococcus phage SA780ruMSSAST101,Duplodnaviria,HWB66,bacteria,DNA,linear,-0.437989479836353,0.00058893571712888
Human papillomavirus 9,Monodnaviria,HpV9gp,human:vertebrates,DNA,linear,-0.465458796025716,0.000239111555062778
Irkut lyssavirus,Riboviria,J426,vertebrates,RNA,linear,-0.364231443600234,0.00479743001298338
Marmot sapelovirus 1,Riboviria,EXJ58,vertebrates,RNA,linear,-0.337697253068381,0.00920092591754169
Salmonella phage SeZq-1,Duplodnaviria,JT343,bacteria,DNA,linear,0.287258912916423,0.0277327649137483
Salmonella phage STML-13-1,Duplodnaviria,FDI91,bacteria,DNA,linear,-0.118176504967855,0.371714303896356
